timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1678165241487,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-1,text,false,,875,0,1,1,null,0,0,0
1678165241490,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-1,text,false,,875,0,1,1,null,0,0,0
1678165241518,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-3,text,false,,875,0,2,2,null,0,0,0
1678165241518,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-3,text,false,,875,0,2,2,null,0,0,0
1678165241518,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-2,text,false,,875,0,1,1,null,0,0,0
1678165241518,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-2,text,false,,875,0,1,1,null,0,0,0
1678165241528,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-4,text,false,,875,0,1,1,null,0,0,0
1678165241528,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-4,text,false,,875,0,1,1,null,0,0,0
1678165241538,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-5,text,false,,875,0,1,1,null,0,0,0
1678165241538,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-5,text,false,,875,0,1,1,null,0,0,0
1678165241549,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-6,text,false,,875,0,1,1,null,0,0,0
1678165241550,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-6,text,false,,875,0,1,1,null,0,0,0
1678165241558,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-7,text,false,,875,0,1,1,null,0,0,0
1678165241559,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-7,text,false,,875,0,1,1,null,0,0,0
1678165241568,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-8,text,false,,875,0,1,1,null,0,0,0
1678165241568,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-8,text,false,,875,0,1,1,null,0,0,0
1678165241581,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-9,text,false,,875,0,1,1,null,0,0,0
1678165241581,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-9,text,false,,875,0,1,1,null,0,0,0
1678165241588,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-10,text,false,,875,0,1,1,null,0,0,0
1678165241588,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-10,text,false,,875,0,1,1,null,0,0,0
1678165241598,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-11,text,false,,875,0,1,1,null,0,0,0
1678165241599,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-11,text,false,,875,0,1,1,null,0,0,0
1678165241609,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-12,text,false,,875,0,1,1,null,0,0,0
1678165241610,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-12,text,false,,875,0,1,1,null,0,0,0
1678165241618,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-13,text,false,,875,0,1,1,null,0,0,0
